,SampleName,Species,Stage,Type,Replicate,Geno,Origin
He1.B,He1.B,He,BSM,He.B,1,B.E,B.P
He2.B,He2.B,He,BSM,He.B,2,B.E,B.P
Ht1.B,Ht1.B,Ht,BSM,Ht.B,1,B.T,B.P
Ht2.B,Ht2.B,Ht,BSM,Ht.B,2,B.T,B.P
Ht3.B,Ht3.B,Ht,BSM,Ht.B,3,B.T,B.P
Hy1.B,Hy1.B,Hy,BSM,Hy.B,1,B.HY,B.HY
Hy2.B,Hy2.B,Hy,BSM,Hy.B,2,B.HY,B.HY
Hy3.B,Hy3.B,Hy,BSM,Hy.B,3,B.HY,B.HY
Ae1.B,Ae1.B,Ae,BSM,Ae.B,1,B.E,B.A
Ae2.B,Ae2.B,Ae,BSM,Ae.B,2,B.E,B.A
Ae3.B,Ae3.B,Ae,BSM,Ae.B,3,B.E,B.A
At1.B,At1.B,At,BSM,At.B,1,B.T,B.A
At2.B,At2.B,At,BSM,At.B,2,B.T,B.A
At3.B,At3.B,At,BSM,At.B,3,B.T,B.A
He1.G,He1.G,He,GSM,He.G,1,G.E,G.P
He2.G,He2.G,He,GSM,He.G,2,G.E,G.P
He3.G,He3.G,He,GSM,He.G,3,G.E,G.P
Ht1.G,Ht1.G,Ht,GSM,Ht.G,1,G.T,G.P
Ht2.G,Ht2.G,Ht,GSM,Ht.G,2,G.T,G.P
Ht3.G,Ht3.G,Ht,GSM,Ht.G,3,G.T,G.P
Hy1.G,Hy1.G,Hy,GSM,Hy.G,1,G.HY,G.HY
Hy2.G,Hy2.G,Hy,GSM,Hy.G,2,G.HY,G.HY
Hy3.G,Hy3.G,Hy,GSM,Hy.G,3,G.HY,G.HY
Ae1.G,Ae1.G,Ae,GSM,Ae.G,1,G.E,G.A
Ae2.G,Ae2.G,Ae,GSM,Ae.G,2,G.E,G.A
Ae3.G,Ae3.G,Ae,GSM,Ae.G,3,G.E,G.A
At1.G,At1.G,At,GSM,At.G,1,G.T,G.A
At2.G,At2.G,At,GSM,At.G,2,G.T,G.A
At3.G,At3.G,At,GSM,At.G,3,G.T,G.A
He1.L,He1.L,He,LSM,He.L,1,L.E,L.P
He2.L,He2.L,He,LSM,He.L,2,L.E,L.P
He3.L,He3.L,He,LSM,He.L,3,L.E,L.P
Ht1.L,Ht1.L,Ht,LSM,Ht.L,1,L.T,L.P
Ht2.L,Ht2.L,Ht,LSM,Ht.L,2,L.T,L.P
Ht3.L,Ht3.L,Ht,LSM,Ht.L,3,L.T,L.P
Hy1.L,Hy1.L,Hy,LSM,Hy.L,1,L.HY,L.HY
Hy2.L,Hy2.L,Hy,LSM,Hy.L,2,L.HY,L.HY
Hy3.L,Hy3.L,Hy,LSM,Hy.L,3,L.HY,L.HY
Ae1.L,Ae1.L,Ae,LSM,Ae.L,1,L.E,L.A
Ae2.L,Ae2.L,Ae,LSM,Ae.L,2,L.E,L.A
Ae3.L,Ae3.L,Ae,LSM,Ae.L,3,L.E,L.A
At1.L,At1.L,At,LSM,At.L,1,L.T,L.A
At2.L,At2.L,At,LSM,At.L,2,L.T,L.A
At3.L,At3.L,At,LSM,At.L,3,L.T,L.A
